m/z	retention_time	p-value	t-score	custom_id
604.36109	12.612	1	-0.5562321602000001	N262
842.51577	15.796	1	-0.8629290322333333	N263
634.33357	10.882	1	0.9487013373333333	N264
764.54862	15.043	1	0.46507009928333337	N265
687.54522	16.789	1	-0.5860620349833333	N266
832.60786	24.739	1	0.42379569286666674	N267
901.54194	14.928	1	0.23615986311666656	N268
756.48055	14.698	1	-0.30496243129999995	N270
772.51086	15.445	1	-0.11534229170000011	N271
798.52743	16.172	1	-1.06839621555	N272
802.48636	14.326	1	-0.49554848329999995	N274
722.51153	17.541	1	0.3570389982	N276
866.55359	16.532	1	-0.7421336454499998	N277
582.33982	12.003	1	-0.70883166275	N278
771.3918	10.966	1	-0.38122224978333336	N280
634.37122	11.317	1	-0.5289504157333333	N281
845.53245	16.551	1	0.37524707408333335	N283
618.47599	14.768	1	-0.31556749675000006	N284
812.54092	18.608	1	0.4708736029333333	N286
931.51613	14.384	1	-0.17683101189999995	N287
834.54873	15.187	1	-0.3602464716499999	N288
618.3403	11.131	1	-1.1664476497333331	N290
293.17935	9.537	1	-0.18808777393333326	N291
552.30942	10.166	1	0.48455314871666666	N293
715.36611	11.393	1	-0.06845703928333335	N297
652.38217	12.531	1	-0.4525549392166667	N299
844.56813	17.837	1	0.32014901584999994	N301
868.55413	13.413	1	-0.3081644619666668	N302
712.40343	10.697	1	-0.8998487349833334	N303
798.53032	17.335	1	0.18632224909999995	N305
775.59575	18.135	1	-0.3453724853500001	N307
940.54887	19.762	1	0.17117723300000004	N308
844.52746	18.337	1	1.1509225279833333	N310
588.32981	11.634	1	-1.1465618219666665	N311
796.51085	15.14	1	0.1428625008666667	N312
754.5008	15.95	1	0.13309995933333338	N313
738.41887	11.049	1	-0.65590911665	N314
834.47594	12.568	1	-0.6976295795333334	N315
656.37704	11.497	1	-0.6390782432833335	N316
622.33557	11.925	1	-0.3919415548	N317
597.30343	10.076	1	0.7892643154	N318
498.26223	9.226	1	0.47111430823333333	N319
571.28806	9.705	1	0.06686982263333346	N320
808.47564	14.697	1	-1.0290979062666668	N322
564.33066	11.14	1	-0.7724969909666666	N323
397.22621	9.31	1	-0.3599894354	N325
877.50592	14.574	1	-0.8408665849333333	N326
255.23258	12.149	1	0.7272847464166667	N327
892.46338	17.062	1	0.04214993715000004	N328
682.35633	10.357	1	-1.2095858152166667	N329
815.50356	17.785	1	-0.33906166390000003	N330
788.54401	18.114	1	0.48408163881666677	N331
516.33167	10.337	1	0.21141685613333333	N332
877.5226	16.781	1	-0.6027473436833333	N334
590.34549	12.325	1	-0.7002756438166667	N335
920.56132	18.598	1	-0.17128594736666675	N337
578.30891	11.109	1	-0.6398633410666666	N339
694.42888	12.93	1	-0.28776893031666667	N340
748.48965	16.53	1	-0.22065072503333338	N341
620.35584	11.206	1	-0.5619743923833334	N342
744.55424	19.545	1	0.8438233473333334	N343
907.53043	15.646	1	0.45864483474999995	N344
820.51139	15.431	0	-1.2234045917833334	N347
666.60352	19.872	1	0.77089145105	N349
818.55368	16.173	1	-0.1713488222333333	N351
1565.15893	19.741	1	-0.37461793838333335	N352
636.35095	10.75	1	-0.6483555904333334	N353
737.53694	16.784	1	-0.7989824682000002	N355
980.66992	10.651	1	0.07777767560000001	N356
379.1558	9.111	1	0.41537248145000005	N357
648.35077	11.254	1	0.37151895334999996	N359
758.49705	15.572	1	-0.6585960552333334	N362
770.4965	15.415	1	-0.5645526114666666	N364
816.52936	18.378	1	-0.5709389734333333	N365
680.41327	12.499	1	-0.30434885798333333	N366
719.53347	15.642	1	-1.0342934606333334	N368
820.56872	16.687	1	0.06099793933333329	N369
856.50878	17.374	1	0.10101857650000004	N371
973.62615	10.665	1	0.1937920390833334	N373
868.52878	18.046	1	-0.29321427474999995	N374
660.387	12.358	1	-0.6298692060999999	N375
750.52764	18.202	1	-0.16830446005	N377
385.19038	12.147	1	1.1786301613833334	N378
792.52853	18.784	1	-0.04392191096666663	N379
604.46054	14.529	1	-0.35361084381666663	N380
606.34007	10.926	1	-0.5833021599833333	N382
903.55392	16.12	1	0.4842180230333333	N383
876.5584	14.164	1	-0.9197892396999999	N385
1094.73876	10.972	1	0.41316229353333334	N387
754.46514	14.485	1	-0.9190709875	N388
596.35612	12.205	1	-0.2094068720166667	N389
624.35076	10.471	1	-0.5899437622833333	N391
622.37141	12.223	1	-0.38730953383333344	N392
799.54802	17.788	1	0.2762608261666667	N393
630.37655	12.918	1	-0.05083903206666662	N396
530.30211	10.672	1	0.12846075178333333	N397
582.37679	12.474	1	0.047570971350000046	N398
1013.49015	15.805	1	0.006922929116666587	N400
708.40816	12.269	1	-0.4236882576	N401
819.54805	18.825	1	0.39447438005	N403
483.2725	10.188	1	0.18229051296666665	N404
749.57993	17.444	1	-0.7448861302500001	N405
653.46235	12.934	1	0.6485154485833333	N406
701.35026	11.247	1	-0.09766528521666672	N407
934.53231	19.727	1	-0.14991169598333337	N408
840.53043	18.164	1	0.27743410220000003	N409
780.5544	18.707	1	0.6356583517000001	N411
804.51503	15.905	1	-0.9876132263833333	N413
475.26738	6.983	1	0.47686582469999994	N414
746.51019	17.365	1	-0.24524592899999997	N416
759.5174	16.911	1	0.49731484486666666	N417
860.56291	15.596	1	-0.3690823023166667	N418
897.5458	16.111	1	0.31527931843333334	N420
546.28057	10.778	1	1.0249224222666666	N422
496.2678	10.06	1	0.6578451663333333	N424
305.24826	12.369	1	0.5495787939666668	N425
572.48076	17.095	1	0.4565497504666667	N426
722.42374	12.36	1	-0.7462453105000001	N427
479.37339	13.023	1	-0.5717229788833332	N428
630.23528	9.825	1	0.32351549891666664	N431
846.58394	18.066	1	0.013779966999999962	N432
898.55783	17.482	1	1.1630089821166667	N435
927.51832	16.099	1	1.181398870083333	N436
666.39706	11.829	1	-1.0589743508833334	N437
913.57843	17.353	0	1.5358916741166668	N438
559.47229	16.733	1	0.34091383445	N439
749.38645	12.068	1	-0.2201669560333334	N441
594.37673	12.252	1	0.7895297854500001	N442
433.19027	11.67	1	0.34305632416666665	N443
1091.72521	11.981	1	0.33078212563333337	N444
863.56174	17.527	1	0.9796670761333333	N445
672.38685	12.107	1	-0.7873812733333334	N446
678.39718	11.933	1	-1.14983604725	N448
647.45553	12.466	1	0.8417121575833333	N450
880.58985	14.312	1	0.4914005821833334	N451
558.33331	11.982	1	0.3509425711333334	N452
466.2936	10.012	1	0.15333531653333335	N454
843.41338	10.85	1	-0.6617371346166666	N455
599.49971	17.092	1	0.6749913060833332	N456
664.38205	11.136	1	-0.6827567047666667	N457
313.23807	12.416	1	0.3333438376333332	N458
784.47532	13.674	1	-0.42412090943333336	N459
473.28199	11.211	0	1.2203873757666666	N461
724.40306	11.494	1	-0.5943448151833333	N464
592.36099	11.296	1	0.9342597886499999	N465
687.27543	9.221	1	0.3542096206833333	N467
899.52667	15.15	1	-0.11846497273333334	N468
876.55858	13.56	1	-1.0466118085666667	N469
656.31698	10.108	1	0.30597916631666655	N470
