ID	LD2169	LD2170	LD2171	LD2243	LD2244	LD2245	LD2162	LD2163	LD2164	LD2214	LD2215	LD2166	LD2157	LD2158	LD2223	LD2225
A2AQ07	-0.533033581	-0.669640278	1.131317757	-0.729733634	-1.054738928	1.04452957	-0.296493294	-0.997563058	-1.054306776	2.149612494	0.165240691	-0.431031049	-0.202897286	0.158727351	0.077018295	1.229331738
A2AQK4	0.281628417	2.196651097	-0.117359727	0.566093514	-0.697876985	1.415232109	0.270017755	0.443825374	-0.220332281	-1.961606909	0.251466436	-0.019722191	-0.504084092	-0.786048301	-0.922325354	-0.217921879
A2ARA8	0.77828172	0.956476749	-1.87391247	-0.423424473	1.380507213	0.165078596	0.781724922	0.751899638	1.27761911	-0.704772399	-0.418805965	0.041690194	-0.095888384	-0.843097888	-1.300628305	-0.594152798
A2ARZ3	-1.112024482	0.818121729	1.244679463	0.098094956	-1.587632005	0.43264593	0.340544566	-0.392187161	0.343763154	1.397539947	0.335891892	-0.266127038	-1.425235551	0.039543622	-1.255822691	0.855288392
A2AS89	-0.458055661	-1.104255454	1.127860162	0.615881814	-1.417275326	0.468300943	-0.754762639	-0.204709685	-0.578538487	-0.464021554	1.29609054	-0.46947877	0.365315753	1.188595576	1.092755168	-0.817052351
A2ASQ1	1.017188272	0.760012794	-1.631154958	0.697825118	0.260497762	-1.582442968	0.862212438	0.266556518	-0.56521978	-0.573662835	-0.61422729	0.957413399	0.432944183	0.820918505	-0.694579184	-0.185206561
A2ASS6	0.190117494	0.473868387	-1.615902251	-0.284603779	0.73188041	1.674804133	-0.358089865	0.574322021	-1.204440803	-1.158555759	1.017747563	0.383795291	0.37630388	-0.06259656	-0.150942388	-0.76665601
A2ASZ8	0.448158743	-0.830764189	0.414060261	0.166537262	-1.589808703	-1.652850041	-0.824557214	0.187147716	0.258020603	-0.197215277	0.426618628	-0.527737337	0.309305085	0.301979991	0.930003204	2.115745921
A2AT37	0.960815803	-1.227901964	-0.031965117	-0.870065971	1.477746806	-0.766343295	0.374633844	-1.000760568	-1.271340084	0.363541134	0.27313613	-0.751480348	0.176138817	0.042105531	1.809044245	0.516493386
A2ATU0	-0.173217533	-1.590040634	0.589901735	0.163215504	0.245315225	-1.228975092	0.330968559	-0.493437165	-1.018638169	-0.534115812	-0.225701488	0.392178025	1.755038849	1.834449148	0.556636376	-0.535919129
A2AU35	-0.302754582	-0.519680037	1.121609399	0.355553238	-1.113631669	0.584257444	-1.449278376	-1.017434963	0.802918721	1.36590577	-1.01811669	-0.870551345	0.530038461	-0.518595519	0.834593289	1.129892935
A2AUU0-5	-0.544611576	-0.377648765	1.128418557	0.970224796	-0.754373975	0.675355104	-0.400696306	-1.422489423	-0.360813121	-0.854022143	0.209895282	0.895773263	-0.112776557	1.232315793	1.265463845	-1.575513374
A2AWA9	0.593023282	0.130998511	-1.547326283	-0.151915009	-0.185642942	-0.220224337	0.093759665	1.231072661	1.647034073	-0.794793824	-0.78250904	1.33465599	0.225579086	-0.856622209	-1.432526647	0.628724661
A2BFF7	0.530701876	-0.17112229	-0.392569608	0.114988533	-0.043880707	1.379594425	0.609998535	0.707140638	0.066968468	-0.125468767	-0.335129636	1.0547286	-0.120891003	-2.371341051	-1.344709194	0.528230576
A2CG49	0.032011777	1.35097354	0.58495418	0.362340248	1.402514077	0.336072194	-0.1823226	0.145336526	0.172119435	-1.503325866	1.27962319	-0.536340616	-0.060455119	-2.026983248	-0.278701218	-1.108434808
A2RS22	-0.589046561	0.732548206	-1.181684276	-0.477991786	-0.37464196	0.614839607	0.4784212	-0.422229956	0.552766347	0.274788335	1.86439317	-0.487556539	-0.543396245	-0.758381719	-0.344846156	0.312470259
A2RS23	0.236256918	2.027074414	-1.391288785	-0.429289885	-0.653361182	-0.161002921	0.166111108	0.637302253	1.570737168	-0.861452562	-0.846667931	0.666165645	-0.157290103	-0.746416001	-0.56381045	0.609442667
A2RS68	0.583313439	0.142695277	-0.013563384	-0.353315103	1.63476595	-1.112606961	0.816254533	-0.810459634	1.56907723	0.163469525	-0.835318925	0.171444689	-0.080148112	-0.654256324	-0.259464432	-1.104502393
A2RS96	-1.007993639	0.459034611	1.005126049	-1.279467291	-1.336109466	0.518602214	-0.844301238	-0.025923385	-0.070732012	2.147768588	0.874738482	0.211909426	-0.435409988	0.009276632	-0.366908143	0.310502229
A2RSB1	0.429184483	-2.597752955	0.104990789	0.128562477	-0.790981704	0.440024408	0.251876091	0.731398824	1.376480395	0.48558218	-0.436348125	0.869614773	-0.234878327	-0.828276897	-0.662149276	0.573296129
A2RSW6	-0.86532888	-0.843240818	1.53898129	0.390156741	-0.366060211	-0.164798481	-0.847232995	-0.467901461	-1.720800203	1.147458131	0.749254781	-0.938846946	0.323179116	0.500600765	0.155690457	1.250829525
A2VCP9	-0.058361705	2.058780803	-0.393336397	-0.848313027	-0.229505133	0.589548736	-0.526178885	0.844690527	-0.309764624	-0.016356195	1.240476718	0.312240178	-2.024125829	-0.13899243	0.344463438	-0.728307505
