ID	LD2157	LD2158	LD2166	LD2223	LD2224	LD2225	LD2162	LD2163	LD2164	LD2213	LD2214	LD2215	LD2169	LD2170	LD2171	LD2243	LD2244	LD2245
ENSMUSG00000041241	5.244592069	5.442275495	4.886174593	5.233832043	5.597557678	5.964136613	4.749956783	5.267560666	5.004952428	5.075602232	5.257198688	5.388204407	4.98096046	5.109257688	5.073049996	5.087439045	5.826042334	5.657076572
ENSMUSG00000021368	2.875615324	3.035366044	2.80701733	2.994016669	3.020820236	3.597694472	2.888776378	3.070832701	2.75969235	2.637148103	2.899592866	3.075025169	2.919306023	2.643920703	2.822987151	2.471894405	3.386129742	3.265206593
ENSMUSG00000078812	8.110623291	8.248081624	8.030559043	8.175626453	8.547062745	9.128408937	8.087932741	8.249301263	7.982658258	8.04867229	8.01650493	8.129402824	7.919675052	7.975616964	8.012662961	7.828100423	8.602791255	8.780845905
ENSMUSG00000024403	-0.071749017	0.399089455	0.352364168	0.10692327	0.57682971	0.033489684	0.84962205	0.445010278	0.706262872	0.03691229	0.489642945	0.911258236	0.98534614	0.629244817	0.572894305	0.925085577	0.955610592	0.919210046
ENSMUSG00000041607	0.982190624	0.689465966	1.755994987	1.016953583	1.48871967	2.238108128	1.945763439	0.907109299	1.735487708	1.598219404	1.81637683	1.130905442	1.714998341	1.800537751	1.115374547	1.033318047	0.278887035	1.889589429
ENSMUSG00000032504	6.616651182	6.433050904	6.595638008	6.594582373	6.309601815	5.861342307	6.487692969	6.496278274	6.562088334	6.578729029	6.466517939	6.279934545	6.611218226	6.612894714	6.601742977	6.680736328	6.354293273	6.018334387
ENSMUSG00000021280	1.584693971	0.635879026	1.147547167	0.858586446	1.683005234	2.437414364	1.857819824	1.562963411	1.939164417	1.179582271	1.551356334	1.29142187	1.630775831	1.382586337	0.412305366	0.925085577	0.744461438	2.147627395
ENSMUSG00000003053	8.070101381	9.14224878	8.165154752	10.07732503	7.753272308	8.523979894	7.909148775	8.525455307	7.566446099	8.471316364	8.54079976	10.03066408	8.134419829	8.224299508	9.694390768	9.077253536	9.722903045	9.176693671
ENSMUSG00000001053	1.781691138	1.624214064	1.573027383	2.026747325	1.792361109	2.410573077	1.203661306	1.68328387	1.544390778	1.57532812	1.733330809	1.921394216	1.630775831	1.407878467	1.586026944	1.797722165	1.895980421	2.229636791
ENSMUSG00000030374	4.62632482	4.829164383	4.581350731	4.837144892	5.037611064	5.291477803	4.654002465	4.727593201	4.65151323	4.657519969	4.591530479	4.572147687	4.62053788	4.836376801	4.722567896	4.633886099	4.931823856	4.865730082
ENSMUSG00000045362	-0.071749017	0.191902103	0.074706331	0.582739108	-0.020539365	-0.369836362	0.379424728	-0.073764517	-0.156576615	0.587393447	0.271529942	0.006336661	0.507195821	0.34491622	0.024918943	0.386347402	0.198174367	0.457049488
ENSMUSG00000034297	4.086938321	3.92002606	4.13688599	4.097479439	2.078052663	1.215045098	4.069756842	3.627615865	4.084286035	4.130663671	3.906678404	3.707765644	4.092493119	4.3213472	3.923350924	3.986725288	2.195321013	1.889589429
ENSMUSG00000036199	7.04675112	7.245407621	6.882528354	7.228565902	7.514414125	8.052107195	7.072277142	7.316080238	7.027646492	7.009057025	7.044093947	7.32771041	7.09653953	6.881295256	6.981540912	7.024616073	7.680838182	7.937226509
ENSMUSG00000060012	5.370661996	5.324426651	4.705183545	5.03988315	5.08566931	4.836980939	4.95035293	5.002016666	4.967344491	5.143316431	5.188713233	5.087203289	4.904556155	5.322107834	5.277266824	5.320698323	5.183173345	4.896184799
ENSMUSG00000033439	0.70852842	1.385333894	1.312417989	1.544860412	0.57682971	-1.236469727	1.415622263	1.021104715	0.89613911	1.019207212	1.424740977	1.7985122	1.421111463	1.573499414	0.717384803	1.577059549	0.427911116	0.155176064
ENSMUSG00000039671	4.273093889	4.323210051	4.312680592	4.393975915	4.175569669	4.205281418	4.67987881	4.394346905	4.426815777	4.452367926	4.392195747	4.406458524	4.480536722	4.54890126	4.398947139	4.573888557	4.125246699	4.111533482
ENSMUSG00000032298	2.506218864	2.645715812	2.430052632	2.895484664	3.252818289	3.492837744	2.719460615	2.778355903	2.526742281	2.592244451	2.604803664	2.693383207	2.749977505	2.716567432	2.51557245	2.729559762	3.138280424	3.233754009
ENSMUSG00000022594	0.946133317	0.522336832	1.774963148	0.10692327	2.043074357	2.253294323	1.802359746	1.458915837	1.939164417	1.351108219	1.894901543	1.229341565	1.630775831	1.800537751	0.969076451	1.258153634	1.414428908	1.672176203
ENSMUSG00000046876	3.490574499	3.722107787	3.854335555	3.412678744	2.765844228	1.895039577	3.942997437	3.958530174	3.645030751	3.955589674	3.798490042	3.724739687	3.654361208	3.592219664	3.69804111	3.879640089	2.784580726	2.530742407
ENSMUSG00000038459	6.156102596	5.89276169	6.151765642	6.150324921	6.26286304	5.638020684	6.130460102	6.114926973	6.115532569	6.112318525	6.052419731	5.912430257	5.987814145	5.891721426	6.056752177	6.047655975	6.269184186	6.157883476
ENSMUSG00000001441	4.782732254	4.627721032	4.844133752	4.407411274	4.273733359	3.473515759	4.833022874	4.626154542	4.784807994	4.692510784	4.512792302	4.451577648	4.715601422	4.59898108	4.835082764	4.679017405	4.338065582	4.054168062
ENSMUSG00000030754	6.458462923	6.510462886	6.571430695	6.493782942	5.895941785	5.064942096	6.320105428	6.370186294	6.308351314	6.281854179	6.307848982	6.088858882	6.402444839	6.313314991	6.563215968	6.347584368	5.960585279	5.534974827
ENSMUSG00000061360	4.507642869	4.578861791	4.57324659	4.613635276	4.599808327	5.289637634	4.419175896	4.474313891	4.373405591	4.066448594	4.337608452	4.627349554	4.455904627	4.21431494	4.361203502	4.103062585	4.745573882	5.050826652
ENSMUSG00000078851	2.414061136	2.259424969	2.511477398	2.512302706	2.947053771	3.234276474	2.63827146	2.666015772	3.108770612	2.645524029	2.391161211	2.793313155	3.078800801	3.015268316	2.705679969	2.652455276	2.990332761	3.091857927
ENSMUSG00000042659	3.245593256	3.423178745	3.268391489	3.012940529	3.116458463	3.226602599	3.177396371	3.016889502	3.265796757	3.387206775	3.160231825	3.843464622	3.59447568	3.397636919	3.351931047	3.422938129	3.72547978	3.109294331
ENSMUSG00000031953	3.345863884	3.246739943	3.679139456	3.130241786	3.174175647	2.600673777	3.361341938	3.357951612	3.333053267	3.227534449	3.160231825	3.075025169	3.359556885	2.966821903	3.373903773	3.375744625	3.17037037	3.265206593
ENSMUSG00000039395	5.268514452	5.085505576	5.096818076	4.680259707	4.223847297	4.381482665	4.992261231	5.254022976	5.116053212	5.207994379	5.410407419	5.038254878	4.671489799	4.767214465	4.963804679	5.164834917	4.854926689	4.813498498
ENSMUSG00000036501	3.352766307	2.859512232	3.377905038	3.12154956	1.749608223	1.33409456	3.241353174	2.872486997	3.346136342	3.611920872	3.486115757	3.418872964	3.339797034	3.352757976	3.525558542	3.638199184	1.645070853	1.624465907
