fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
N577	763.55965	16.167	C18	NEG	-0.1213617098	1.2965422375	-1.1267976792	1.2288975381	-1.8618787454	-0.9188444836	1.2005803798	-0.2636037205	0.4291116917	0.2676277494	1.8724204338	-0.405156343	-0.8550014762	-1.1162004744	-0.5140300863	0.406208742	-0.5794337030000001	0.5468895629
N580	568.32588	11.087	C18	NEG	-0.8324035107000001	-0.3355353222	1.5935365864	-0.3338316138	0.9589507996	-0.6927454845000001	0.1309144723	-2.5341004753	0.0199711316	-0.3263375882	1.4364043859	0.145488801	-0.9610943599	0.3601884454	-0.2257354185	-0.4966418936	0.2740039933	1.4834317292
N581	804.50217	14.071	C18	NEG	0.243016932	-0.5849372794000001	0.8436334736000001	-1.0509780681	-0.4653518645	0.6168899214	-0.9552884529	0.5464253784	1.2675789018	0.2587784118	-0.7562164783	1.5151629588	0.8407057754	0.2949292915	0.7917559033	-2.3125705263	-0.7731514664	-0.8505173465
N582	762.41851	11.915	C18	NEG	0.2239155832	-0.8313557315000001	0.7321444686	-1.6416882507	0.1138012921	-1.4877881951	0.8314967643000001	-1.4683938722	0.6354092513	0.2815417802	0.9598298221	0.3279913752	0.3875997443	0.8339436129000001	0.5314493494	-2.3215023667	0.3669991578	0.6932504833
N584	878.57297	13.612	C18	NEG	-0.6735138505	-0.7725005657	1.6512597579	-1.127153802	0.9348116948	-1.4126858135	1.0243808099	-0.6973337408	0.2223379182	-0.9016533272	0.9276671027	0.3032238009	-1.2794189454	0.3366237805	-1.0292339132	-0.9888722507	1.0477226959	0.9645043417
N586	530.32446	10.643	C18	NEG	0.6978298655	1.2334440688	-1.4556367071	1.1342781075	-0.055889831	1.4380031917	-1.7954716505	0.7616578753000001	0.027191893	0.3435182372	-2.0727852109	-0.2206298335	0.0079698413	-0.0936229516	-0.4800992769	1.3054656459	-0.4291791041	-0.3460441606
N587	694.63455	20.691	C18	NEG	0.8165387761	0.9040631975	-1.3271123686	1.4739848313	-1.1471108939	1.3073846457	-1.7778585319	1.1600729731	-0.2650207106	0.7874984603	-0.0989136173	0.5504355804000001	-0.3630245211	-1.0375618772	-0.301993231	0.138511365	0.6837701133	-1.5036641911
N588	333.1354	8.03	C18	NEG	1.4659725922	-0.3466884961	-0.9542975879	-0.945294089	0.2448832172	0.9550349493	0.3757693157	1.5653963251	-0.8640703344	-0.0079067716	2.3758857922	-0.128117594	-0.3178888241	-1.5038731627000002	-0.9622374381	-0.3043843635	0.1022308388	-0.7504143691
N589	784.51001	18.084	C18	NEG	1.420950259	-0.8730060055000001	1.0024381769	-0.8271589699	0.4788700426	-0.6873256454000001	0.8657196464	-1.0397689047	-1.1045334013	-1.3274476675	1.5523038909	-1.2674585222	-0.7645092832	-0.1709821033	-0.6800082626	-0.8420622616000001	0.5874177692	1.0837780692
N590	654.23538	9.899	C18	NEG	-0.7332171158	1.1933917084	-1.2674364766	1.1162126946	-0.8017333792	1.3005474945	-1.3472464978	1.0931000294	0.4213713342	0.9041788049	-1.8874469478	0.2144083479	0.2923087418	-0.2413532917	0.1147375146	0.8158034942	-1.1621318055	-1.2929311266
