m/z	retention_time	p-value	t-score	custom_id
792.70756	22.261	1	-1.0403101564833335	P72
768.5904	19.141	1	-0.6034691502166666	P73
928.83243	24.171	1	-0.26088384901666667	P74
792.55353	17.89	1	-0.11397204091666668	P75
689.55902	16.185	1	-0.9035734403999999	P76
742.5383	17.553	0	1.9301723269166664	P77
1613.13724	17.855	1	-0.3896235388333334	P78
796.58426	18.918	1	-1.1346663040166667	P79
1571.18446	19.613	1	-0.7324608428000001	P80
1537.19337	18.938	0	1.4850627077	P81
860.77012	23.146	1	-0.6853214423333334	P82
1572.19639	20.643	1	0.44665865943333344	P83
834.75464	23.095	1	-0.6655643517666666	P84
520.33989	9.919	1	-0.34415001295000003	P85
782.56724	19.44	0	1.4413795473333333	P86
906.60684	16.22	0	1.2496155262333333	P87
794.72337	22.738	0	-1.26692181505	P88
1566.14898	18.375	1	-0.18397816031666664	P89
720.59014	22.505	1	-0.08356102276666671	P90
1564.13357	18.09	0	-1.3379374798499999	P91
502.29279	9.651	1	-0.6423481965166667	P92
922.78543	23.037	1	-1.14729033835	P93
896.77001	22.705	1	-1.1993328486166668	P94
887.56492	15.506	1	0.8955974929166666	P95
820.58442	18.498	1	-0.39024751899999993	P96
1540.13309	18.234	1	0.7649252527166666	P97
603.53438	19.296	1	-0.4255582275833333	P98
636.55621	18.731	1	-0.8580404678333333	P99
577.51875	19.187	1	-0.05833425518333338	P100
812.65201	21.395	0	-1.5155196347333333	P101
824.61565	20.933	1	-0.42727774323333334	P103
902.57572	15.006	1	-0.35471690138333334	P104
520.50864	16.949	1	-0.1022847614500001	P105
762.50642	16.138	1	-1.0960369521666666	P106
526.29278	9.716	1	-1.1077457685833334	P107
716.5227	17.295	1	0.38263704381666663	P108
339.28915	19.286	1	-0.22510706655	P109
762.60039	23.069	1	0.6790332064666667	P110
577.51887	23.786	1	-0.7463274376833333	P111
794.60535	19.171	1	-0.6552331195333332	P112
836.7705	23.617	1	-0.5932988593833333	P113
1612.1338	17.857	1	-0.4020489993333333	P116
864.80189	24.255	1	0.043007932300000024	P117
932.86436	25.442	1	0.9032677088166666	P118
854.56909	17.306	1	1.0813591410999999	P119
916.8328	24.354	1	-0.03388107603333333	P120
1570.18059	19.63	1	-0.3186403401333333	P121
759.58769	15.952	1	0.5743121670166667	P122
629.55033	16.219	1	1.2093734394	P123
842.72306	22.138	1	-1.1072642463	P124
754.53826	17.306	1	-0.8928201158333333	P125
1511.17757	18.674	1	1.0873745100166667	P126
920.77005	22.592	0	-1.26265966945	P127
705.5907	17.291	1	-0.9690336738333332	P128
804.55119	18.175	1	-0.47177520816666674	P129
924.80096	23.243	0	-1.2272714683666668	P130
838.55928	15.439	1	-0.9700792365333335	P133
701.55915	15.921	1	-0.9548286556166667	P135
836.54346	16.526	1	1.1241621630166665	P136
603.5345	23.839	1	-0.7972692605833334	P137
738.50661	16.197	1	0.1990828890666666	P138
1589.13698	17.956	1	-0.7143985952	P139
575.50319	18.524	1	-0.8096532500333333	P140
778.5375	17.147	1	-0.9425590813	P141
894.75451	22.491	1	-0.8498136925833335	P142
1528.04082	16.97	1	0.8456552802666666	P143
811.66752	20.612	1	-0.24316698846666676	P144
1590.14843	18.246	1	0.40563392718333324	P145
750.54356	17.623	1	0.4247164717166666	P146
744.55418	17.791	1	0.63597629145	P147
868.73873	22.229	0	-1.3497817505833334	P148
546.35252	11.942	1	-0.16623734635000004	P149
482.32405	11.33	1	0.47995166226666675	P150
338.34204	13.961	1	0.0930155811166667	P151
876.55998	14.83	1	-0.5757007761333333	P152
1569.16833	19.048	0	1.4019835925833335	P153
1527.12109	18.281	1	0.39500990038333333	P154
1529.04472	17.005	0	-1.6366831650833331	P155
761.58895	20.554	1	0.9978392262833333	P156
770.56884	18.668	0	1.4401942105499999	P157
1542.14804	18.594	1	-0.002277676483333324	P158
675.5435	15.566	1	-0.9576155579666668	P159
454.29275	10.136	1	-0.80137159275	P161
1494.14938	19.262	1	0.05272181583333335	P162
906.84874	25.509	1	1.0546176020666664	P163
810.52837	15.897	1	-0.39408287713333334	P164
718.53841	17.97	1	1.2152344187333333	P165
786.60112	21.605	0	1.8156464657333333	P166
546.35524	10.516	1	0.04657966273333336	P167
1614.14519	17.989	1	0.6481144825499999	P168
577.51884	16.462	1	0.9295230527666665	P169
766.69225	22.189	0	-1.2618715918166665	P170
832.73905	22.607	1	-0.9410141907166667	P171
790.6924	21.821	1	-1.2149703246166665	P172
182.19038	0.915	1	-0.18438669600000002	P173
538.51931	16.949	1	-0.09647694111666669	P174
792.57516	16.342	1	-0.1792699222166667	P175
1526.11756	18.277	1	-0.6367222386166665	P176
788.52189	16.464	1	-1.0575689485833335	P177
744.55463	18.41	0	1.9131359324333337	P178
339.28917	16.344	1	-0.11245090374999997	P180
812.61662	22.779	1	0.5658899393500001	P181
706.53842	17.942	1	0.556589244	P182
824.77051	23.924	1	0.05665082956666664	P183
575.50317	23.226	1	-1.0627472390166666	P184
625.51915	15.007	1	-0.42758999355000005	P185
1550.1175	18.086	1	0.9162662914833334	P186
1561.19324	18.762	1	0.11828967935000004	P187
784.51279	15.519	1	0.4648366321833334	P188
958.88014	25.492	1	0.63956169385	P189
658.54061	18.306	1	-0.026824024599999996	P190
518.3213	10.516	1	-0.7820606265166665	P191
487.35283	10.452	1	0.21734371936666674	P192
918.84918	25.019	1	0.21046875236666668	P193
704.52287	17.212	1	0.019092806116666583	P194
1616.15849	18.244	1	-0.8302160851833335	P195
582.50915	17.636	1	0.33081826655	P196
1625.23166	21.511	1	1.1821109511499999	P197
832.58241	19.886	1	0.01692037178333332	P198
724.52783	17.446	1	0.2851964952333333	P199
1551.12138	18.166	1	0.3360662191666667	P200
369.35119	15.261	1	0.6304061013666666	P201
834.59854	21.379	0	1.3613313721333333	P202
731.60629	17.811	1	-0.20657868938333332	P203
889.58052	16.221	0	1.22401302425	P204
886.78547	23.225	1	-0.7306762517000001	P205
480.30893	10.485	1	0.2793842317833334	P206
447.38309	16.371	1	-0.43030182691666663	P207
1562.11714	17.808	1	-0.5120652952166667	P208
1594.17986	19.11	1	0.6598810463666667	P209
274.2747	7.805	1	0.40199501588333336	P210
1539.11995	17.93	1	-0.7674551092333336	P211
599.50333	14.831	1	-0.5819664873166666	P212
1588.13333	17.956	1	-1.0611088208666666	P213
773.58618	20.195	1	-0.7313985427166666	P214
828.55049	17.85	1	1.2167814882166665	P215
787.60442	21.337	0	1.5348994337666668	P216
1568.16456	19.09	0	1.393851495	P217
806.72359	22.533	1	-0.86817965805	P218
856.5846	17.746	0	1.4060002274333332	P219
1621.19956	19.783	0	-1.2617079500166666	P220
1104.06375	17.465	0	1.3993764831666666	P221
770.56946	17.934	1	0.5577252073999999	P222
584.52488	18.371	1	-0.15250311508333336	P223
848.61582	20.331	1	0.7331464751499999	P225
795.62922	21.394	1	-0.9708033871166668	P226
764.67669	21.723	0	-1.3861005798833332	P227
808.51271	15.451	1	0.3478638768166667	P228
948.80119	23.073	1	-1.1984479660833334	P229
917.82787	23.949	1	0.15032870620000005	P230
794.56944	17.772	1	1.1531989023833333	P231
339.28928	15.418	1	-0.8237203557166666	P232
798.59826	20.636	1	0.4348348003333333	P233
385.27369	9.698	1	-1.1214640470833332	P234
1575.12148	18.01	1	-0.5776442821999999	P235
737.64126	16.879	1	0.5299229980500001	P236
858.75442	22.693	1	-0.9324862991499998	P237
720.55427	18.596	1	-0.3282050261500001	P238
1530.05567	17.15	1	0.5552758353333334	P239
954.84836	24.264	1	-0.06506242661666665	P240
808.73914	23.018	1	-0.9007392051333333	P241
1532.07147	17.307	0	1.4058658194666667	P242
648.62902	19.763	1	-0.20395354179999997	P243
818.56858	17.801	0	1.39217434335	P244
834.5285	15.849	1	-0.43161362235000006	P245
630.61824	19.75	1	-0.17925017998333342	P246
634.54059	18.455	1	-0.48970044289999987	P247
339.28925	18.51	1	-0.7527988552833335	P248
660.55629	18.578	0	-1.3379744151666668	P249
1598.21141	21.268	1	0.5880151759666667	P250
666.60316	20.024	1	0.8000933692	P251
860.61599	19.203	1	0.5006726080833334	P252
684.55636	18.449	1	-1.1215251865166667	P253
361.27388	9.639	1	-0.6314332491333334	P254
766.55941	16.462	1	0.9229067724	P255
909.54628	15.535	0	1.4911031929666667	P256
790.55989	15.715	1	-0.11834284404999997	P257
662.5717	19.228	1	-0.5292289125833334	P258
885.54895	15.014	1	0.25288467834999995	P259
836.54406	15.187	1	-1.12289561335	P261
1543.15113	19.419	1	1.1581678053000002	P262
549.48755	23.161	1	-0.8073751513666665	P263
700.57237	15.716	1	0.30030022195000006	P264
794.5689	18.381	1	0.5551320515499999	P266
1480.04028	17.13	1	0.4815741691166667	P267
714.50681	16.33	1	-0.5947110513166667	P270
772.62159	22.921	1	-0.7874870919666667	P271
892.73909	22.068	0	-1.5080565571833333	P272
385.27354	15.312	1	-1.0463693268499998	P273
608.52493	17.886	1	0.08526837498333323	P274
918.75474	22.179	1	-1.200139671	P275
729.59098	17.217	0	-1.22113968135	P276
764.54408	15.757	1	-0.5029772698833334	P277
1680.51301	23.335	1	-0.7398706286666666	P278
798.60013	19.211	0	1.2417864636000002	P279
1538.11576	17.943	0	1.4530514717333334	P280
914.8168	23.798	1	-0.8115870796	P281
792.58999	18.812	1	-1.1049241069	P282
1624.22823	21.509	0	1.2413279441333334	P283
1207.07965	19.183	1	0.006102877933333362	P284
826.6322	22.674	1	-0.3981579236833333	P285
632.63393	20.535	1	-1.1469628358333335	P286
748.5278	17.298	1	-0.013623725816666724	P287
650.64469	20.461	1	-1.1333469533666667	P288
615.4958	18.525	1	-0.6375247129833334	P289
1592.16424	18.687	1	0.00042545326666668104	P290
950.81668	23.408	1	-1.2113797599333331	P291
766.57382	18.573	1	-0.18272065774999996	P292
544.33735	10.75	1	-0.6635585273833333	P293
775.54835	16.355	1	-0.2472387150333333	P294
852.80109	24.662	1	0.39966066840000003	P295
892.8331	24.988	1	0.28268808655	P296
1560.19626	21.032	1	1.0908285319333333	P297
530.32396	10.586	1	-0.8864715909166667	P298
482.32458	9.843	1	-0.7747998108999999	P299
313.27397	19.165	1	0.007579500883333312	P300
884.54414	14.953	0	-1.4401603352666665	P301
822.59968	19.083	1	0.24331717885000004	P302
818.605	19.015	1	-0.9695896484833332	P303
494.32456	9.493	1	-0.10864520760000007	P304
1499.17754	18.867	1	0.6282924199166667	P305
782.56945	20.609	1	-0.36211695201666666	P306
956.86412	24.84	1	-0.18988829109999994	P307
814.55975	15.497	1	-1.0436561692166668	P309
1537.10568	18.129	1	0.7086141101333333	P310
518.49311	16.21	1	-0.6704117349833334	P311
810.60118	21.236	1	0.5991801195500001	P312
813.68343	18	1	0.8759846493333334	P313
1576.13099	18.19	1	-0.13630801991666674	P314
881.75666	23.964	1	0.7747926788333335	P315
1231.35121	11.087	1	0.3041813213	P316
946.78567	22.656	0	-1.3408675890166664	P317
601.519	18.742	1	-0.9900585708833334	P318
368.42494	16.201	1	-0.1118710814166666	P319
643.52704	19.306	1	-0.0430647774166667	P320
1512.10105	17.86	1	-0.2851183914333333	P321
549.48756	18.371	1	-0.2741576652833333	P322
1620.19611	19.8	1	-0.80714803735	P323
890.78023	22.343	1	-0.9928729822	P324
284.33198	11.586	1	-0.20663678840000005	P325
810.59923	23.545	1	0.81648456565	P326
269.22708	19.79	1	-0.07532716623333342	P327
866.72319	21.995	1	-1.1198106231	P328
1500.10163	18.07	1	0.6984018722166666	P329
1259.11141	19.3	1	-0.15411236991666658	P330
469.36507	15.195	0	-1.2878477825833334	P331
623.5034	16.964	1	-0.98934659985	P332
830.56568	18.233	1	-0.39995623835	P333
690.50719	16.905	1	0.9315592748666668	P334
952.8324	23.785	1	-1.0101217023166666	P335
1599.12154	17.899	1	0.5317949884666666	P336
752.5606	18.529	1	0.33440325293333334	P337
575.50334	15.764	1	0.12945810113333334	P338
516.51398	17.452	0	1.5004446303666665	P339
859.53415	14.841	1	-0.6083401247333333	P341
1617.16385	18.233	1	0.7089353088499999	P342
742.56144	15.949	1	0.5179621350833333	P343
821.53277	15.444	1	-0.88110058555	P344
447.38317	15.272	0	-1.4569003231333335	P345
1464.10168	17.995	1	0.6662618687833333	P346
1502.16531	16.914	1	0.2171649246833333	P347
725.55649	16.651	1	-0.7629901229	P348
510.356	11.138	1	-0.6783576839	P350
1574.11732	17.979	1	-0.7528472374166667	P351
750.5072	16.398	1	-1.00331514775	P352
547.47194	17.636	1	0.35388154181666664	P353
533.32605	5.871	1	0.29912012555	P354
1619.18404	19.124	1	0.4543230662	P355
796.7391	23.271	1	-0.018863600616666698	P358
460.26955	7.215	1	0.7912275105666668	P359
719.56995	16.094	1	-0.6092406003166667	P360
894.40054	11.972	1	-0.5353260029666667	P361
462.26759	5.871	1	0.2898798383333333	P363
617.51142	19.178	1	0.2963837664166667	P364
656.52494	17.62	1	-0.1742190050166667	P365
879.74066	23.449	1	0.4855206057166666	P366
744.59215	20.389	0	-1.3252750818	P367
915.81201	23.449	1	0.061583053916666665	P368
1506.05522	17.231	1	0.4808660216166666	P370
1490.11668	18.271	1	0.8451566618666666	P372
528.3091	10.094	1	-0.9227941413333334	P373
884.76979	22.895	1	-0.8776856717166668	P374
878.56926	17.168	1	1.1656546256666667	P375
1593.16762	18.785	1	0.5776230828333334	P376
787.67048	14.568	0	1.4265878751333334	P377
828.55342	16.945	1	0.21285383866666666	P378
786.5038	16.959	1	-0.19901607038333333	P379
601.51892	23.34	0	-1.22454785915	P381
1561.19991	21.082	1	-0.25662502088333333	P382
621.54518	19.296	1	-0.42492637828333335	P383
604.60259	19.713	0	1.3004917536499998	P384
1587.2153	21.411	1	0.8662451055666668	P385
728.52296	16.953	1	-0.02457636468333335	P386
759.63807	19.232	1	-0.6507759034666667	P389
724.63064	16.764	1	-0.5194709667166667	P390
506.49307	16.434	1	-0.8339657284833334	P391
759.57262	19.438	1	1.1829054241833334	P392
944.86491	25.081	1	-0.20169295275	P393
311.25835	18.512	1	-0.6632827508833333	P395
944.7703	22.42	0	-1.3929902035833335	P396
802.53753	16.897	1	0.07234810123333332	P397
1639.15272	17.937	0	1.5741411684000002	P398
889.79642	23.344	1	0.5652901599833333	P400
840.70711	21.902	1	-1.1075476978	P401
536.50377	16.219	1	-0.6839635284000001	P402
755.55639	15.84	1	0.8694669983333334	P403
618.61825	20.136	1	0.4381316061666667	P404
816.64895	21.331	1	-1.10125257875	P405
337.27397	15.433	1	-1.0548779158333332	P406
603.53454	16.697	1	0.53783653815	P407
1552.12933	18.237	1	0.75881809765	P408
682.56141	15.716	1	0.12492587295000002	P409
282.27987	10.395	0	-1.3077174597	P410
1524.10074	17.89	0	1.2300568556166667	P411
566.32231	9.907	1	-1.1966535580166666	P413
549.48765	15.468	1	0.5459120439	P414
851.70957	22.875	1	0.2910791292333333	P415
991.67417	10.502	1	-0.8993809238333335	P416
816.57528	16.2	1	-0.4242093565666666	P417
814.56094	17.627	0	1.2913423172666667	P418
892.79477	22.543	1	-0.2878690424666667	P420
1577.13575	18.234	1	-0.3289299730666666	P421
718.57483	19.188	1	-0.7652886078166667	P422
820.62049	21.191	1	-1.0653935074166667	P424
812.54432	15.286	1	-1.1262356000500002	P425
785.58907	19.937	1	0.52523482415	P426
636.62903	20.133	1	0.4790645355833333	P427
1536.10226	18.086	1	1.1211819895500001	P428
813.68626	14.604	1	1.2051417063333334	P430
744.59082	19.231	1	-1.0008681299833333	P431
911.56215	16.203	0	1.5948114395833333	P432
833.58586	21.321	1	-0.7992163642333334	P433
300.29032	10.422	0	-1.2744805131999999	P434
1233.09558	19.25	1	-0.48691715086666676	P435
337.27386	18.714	1	-0.9564930381500001	P436
836.61253	19.728	1	0.9706027671166666	P437
622.61335	19.704	1	1.1774862767833334	P438
448.29097	10.052	1	0.7761282475666668	P439
822.56436	16.304	1	-0.8626977100166666	P440
830.72316	22.218	1	-0.9972960337000001	P441
632.52497	17.711	1	-0.1876794147	P442
362.23689	12.28	1	0.4390900547166666	P443
583.32474	10.314	1	-0.07489750648333338	P444
853.72553	23.327	1	0.9017865550833333	P445
1679.50955	23.336	1	-0.7896044878	P446
794.56608	19	1	-0.4863337483166666	P447
1502.11662	18.398	0	1.2850921213166666	P448
878.57626	15.346	1	1.2064307515500001	P449
313.27402	18.417	1	-0.5828643377333333	P450
804.70798	22.08	1	-0.6116798997833334	P451
664.58758	19.508	1	-0.5600994442666667	P452
912.80089	23.375	1	-0.7140092434833334	P453
907.53131	15.008	1	-0.062364035283333355	P454
766.65607	20.595	1	-0.35762219580000004	P455
1126.04564	17.478	1	1.1457978605666665	P456
587.46448	17.634	1	0.5496455990666667	P458
599.50342	17.12	1	1.2050548033	P460
327.22724	12.285	1	0.7460498056166666	P461
636.49634	17.388	1	0.23149329180000008	P463
943.84463	24.094	1	0.29409329423333336	P464
1623.21484	20.828	1	-0.24984315056666673	P465
840.68541	21.392	0	-1.337569917133333	P466
547.47183	22.654	1	-1.0294762954666665	P467
776.52223	16.602	1	-0.0806962416666667	P469
754.53628	17.987	0	1.7005218456999998	P470
590.32196	9.993	1	-0.99918766105	P472
757.53804	16.35	1	-0.2709509928666666	P473
864.76416	22.181	1	-0.9774964079333333	P474
907.77192	24.07	1	0.6011122006833334	P475
1600.13062	17.978	1	0.9168422850166666	P476
909.78789	24.68	1	0.50445066885	P477
738.66111	21.641	0	-1.3500132192	P478
1554.05702	17.088	1	0.17018980676666673	P479
264.26907	17.377	0	1.5399162771500003	P480
877.72511	22.978	1	-0.4901569623166666	P481
1496.07092	17.424	1	-0.31547178628333333	P482
619.52962	18.746	1	-0.8016915161833333	P483
1381.12465	19.333	1	0.1444123616166667	P484
1598.1173	17.877	1	0.7944418563499998	P486
616.17687	15.274	1	0.12259964949999999	P487
601.51901	15.317	1	1.1632271521333335	P488
780.708	22.452	1	-0.8132601286166666	P489
798.54244	19.491	1	0.8123731931999998	P490
551.50296	23.859	1	-0.37176401838333334	P491
1554.14688	18.77	1	-0.09519987321666663	P492
1578.14341	18.281	1	0.1707465094166667	P493
888.76461	22.26	1	-1.0713563223666667	P494
774.54266	17.456	1	-0.1663581547333334	P495
1491.1207	18.286	1	1.0004902304333334	P496
844.65173	20.801	1	-0.4445068386833334	P497
840.5748	16.098	1	-0.6733764185333333	P498
1650.46627	22.83	1	-1.0648135445666667	P500
803.52261	15.443	1	-0.9259852759166667	P501
1557.16794	19.067	1	1.1891416541666668	P502
641.5123	18.614	1	-0.9467737609166667	P503
606.50922	17.485	1	-0.7358181010333334	P504
812.61089	20.454	1	0.21354177823333326	P505
897.73011	23.968	0	1.2996043873666667	P506
880.5918	15.443	1	0.6515027624333333	P507
1513.10501	17.905	1	0.8160255773333334	P508
752.52193	16.731	0	1.5325636394333333	P509
788.60806	21.504	1	1.04699669515	P510
818.63727	19.519	1	0.7026972730166665	P512
1654.49755	23.31	1	-0.67932087745	P513
788.67464	21.467	0	-1.3737108310000001	P514
778.69236	21.994	1	-1.1604406564333334	P515
1550.19828	18.906	1	-0.7631460410333335	P517
1645.19922	19.273	0	1.3568755146333333	P518
802.5357	17.714	0	1.4565391418	P519
1676.4819	22.872	1	-1.1940814384833334	P520
820.54855	16.504	0	-1.4774118524166666	P521
1579.14998	18.383	1	0.17063805781666674	P522
603.46671	12.28	1	0.05525282889999995	P523
856.73935	22.369	1	-1.0938750419	P524
492.40484	15.408	1	0.01439727759999998	P525
608.46513	15.978	1	-0.8937897032166668	P526
625.51912	17.309	0	1.368580483333333	P527
773.53264	15.718	1	-0.28298618545	P528
538.38732	12.307	1	-0.06756958986666657	P529
960.8961	26.438	0	1.2456240103999998	P530
366.37304	15.181	1	0.12957095293333337	P531
526.31406	10.502	1	0.14938957325000007	P532
1581.07546	17.166	1	-0.9246239317333332	P533
892.59144	15.714	1	1.2051544029499999	P534
891.78388	22.342	1	-0.4762429439666666	P535
934.63926	16.211	1	0.04430369270000009	P536
727.56645	20.316	1	-1.0546863149333332	P537
838.78602	24.225	1	0.6030697113666666	P538
860.54402	15.038	0	-1.5365110935	P539
862.55828	15.365	1	-0.8480710041333333	P540
524.27552	9.626	1	-0.6556667807333334	P541
819.51723	15.266	1	-0.9249991455333335	P542
778.57399	18.696	1	-0.15200377135000004	P543
627.53492	18.246	0	1.6807316246333333	P544
823.67806	22.333	1	-0.4411473280333334	P545
1586.21043	21.365	1	1.0223999672000001	P546
556.49327	17.441	1	-0.6130269151166665	P547
692.55891	18.981	1	-0.6287261078333334	P548
336.22141	11.96	1	0.10880499321666667	P550
747.517	15.422	1	0.32062556519999996	P551
834.52905	14.855	1	-0.2741678208666667	P552
825.69397	22.786	1	0.3078524254	P553
624.55624	18.906	1	-0.24786238796666668	P554
858.60021	18.449	1	0.3536245330333333	P555
595.52941	19.185	1	-0.007376739483333283	P556
916.79573	22.566	1	-0.93068877755	P558
788.51852	17.226	0	1.5823249614	P559
852.56077	14.912	1	-0.07273823359999991	P560
882.75458	22.519	1	-0.8633821206000001	P561
817.60922	21.332	0	-1.3789394505500003	P562
1536.18619	18.851	1	0.4407144168333334	P563
341.30524	11.324	1	0.5775566752833334	P565
880.83252	25.499	1	1.0389216562666665	P566
849.69401	22.449	1	-0.5520191304833334	P567
1618.18079	19.14	1	1.1044938697500002	P568
910.78542	23.02	1	-1.0114773830833332	P569
798.56385	16.992	1	-0.26032716656666666	P570
762.5044	17.135	0	1.4800462111833332	P571
593.51387	18.517	1	-0.7205909344666667	P572
605.5503	24.669	1	0.10614220083333337	P574
908.76991	22.749	0	-1.2640384746666666	P575
824.55767	20.707	1	1.1783928053833335	P577
788.54572	15.508	1	-0.8840274233833332	P578
603.53471	15.461	1	0.7611311073166667	P579
795.57228	19.007	1	-0.2973930639833333	P580
1577.2316	23.743	0	1.34465780205	P581
1263.17369	22.49	1	0.9863555915666667	P582
369.38426	12.753	1	-0.24692071580000002	P584
542.32329	9.733	1	-0.41167889096666666	P585
718.57457	20.536	1	-0.11141826375000005	P586
369.35149	22.458	1	-0.6541214514166668	P587
524.50375	16.434	1	-0.7231412841666666	P588
389.30511	10.586	1	-0.9358386602500002	P589
601.51912	16.048	1	-0.20440775313333334	P590
627.53492	16.755	1	-0.07297706878333336	P591
881.51574	14.831	1	-0.06804087374999997	P594
946.88092	25.851	1	0.36705794359999994	P595
228.19626	5.423	1	0.15757327575000002	P596
810.52876	14.847	1	-1.1198030521166666	P597
631.46984	18.525	1	-0.6622392851833333	P599
361.27416	8.755	1	-0.5480622737833335	P600
1555.15099	18.735	1	0.7634684697333334	P601
1507.1521	19.256	1	0.26528569981666666	P602
492.47751	15.936	1	-0.8742209171499999	P603
1638.14892	17.939	0	1.5278633639166666	P604
580.49361	17.128	1	-1.1424694971166667	P605
1528.13003	18.486	0	1.3630697232833333	P606
862.74877	22.074	1	-1.1930190269166667	P607
905.75637	23.56	1	0.0834225801	P608
570.35588	10.511	1	-0.2809559673666667	P609
834.52546	16.726	1	0.43369837533333333	P610
1641.16769	18.263	1	-1.0751184297	P611
403.23294	10.052	1	0.8536588804166667	P612
573.48759	22.768	1	-1.1902897007833333	P614
854.56653	18.038	0	1.2205815471166668	P615
900.56092	14.791	0	-1.2284803933333333	P616
311.25849	15.271	1	0.18429400478333333	P617
838.55849	17.304	1	1.0165519779999999	P618
887.78094	22.878	1	-0.3589231392333333	P619
205.07968	1.062	1	0.0682264174166666	P620
631.56611	24.676	1	-0.164490984	P621
1624.45075	22.785	1	-1.1422614236500002	P622
1545.16507	19.198	1	-0.2731460354333333	P623
1576.22749	23.777	1	1.2137277249833331	P624
568.48546	16.786	1	1.0995638635999998	P625
1520.07054	17.277	1	-0.48545731225000005	P626
772.5488	16.429	0	-1.2735595441333332	P627
313.27434	10.108	1	-0.8791274347166667	P628
1003.58161	9.639	1	-0.6572699906333332	P629
1545.07525	17.24	1	-0.8482146683166667	P630
426.32179	7.312	1	0.061654190733333336	P631
631.56553	20.044	1	0.65471578035	P632
482.36094	11.072	1	-0.7619385260166667	P633
762.66017	21.253	1	-1.0421246043333334	P634
548.27527	9.71	1	-1.1254034795833332	P635
415.21187	7.214	1	0.7559241463499999	P637
930.60672	15.862	1	1.060898277	P638
841.71173	21.886	1	-0.8977212626166668	P639
502.49814	16.965	1	-0.15121832946666666	P640
945.85997	24.735	1	0.12282270176666676	P641
768.70783	22.699	1	-0.36811734578333327	P642
814.69039	21.686	1	-1.0858474801333333	P643
1577.23141	24.733	0	1.8604255325833334	P644
311.25842	17.638	1	0.46570162400000004	P645
918.81078	22.656	1	0.45999431405	P646
837.61606	19.519	1	0.4940448889333333	P647
616.60263	23.162	1	0.38153636620000003	P648
